################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   9.9929839582216985E+01   6.7999300145246934E+02   3.9180126778337342E+02   8.7749764137943671E+01
         1          2   8.9940247959400594E+01   5.7208923571105447E+02   3.2316116358288082E+02   7.3651457347936656E+01
         1          3   7.6589507701621670E+01   4.3557620590544980E+02   2.3817838507800701E+02   5.5813547024487313E+01
         1          4   6.0470814457059433E+01   2.9116222631490939E+02   1.5143405961454908E+02   3.6912242594088369E+01
         1          5   4.0310055937160591E+01   1.6842682981597710E+02   8.2066490591536947E+01   2.0706158517024654E+01
         1          6   3.0691541075614555E+01   4.4448298769765614E+02   2.6098789207799018E+02   5.2891369697775332E+01
         1          7   1.7963822436864849E+01   8.2492152306947617E+01   3.8393992647357017E+01   9.0852551552795067E+00
         1          8   3.7444155644931243E+01   5.7534480385439065E+02   3.2660283258675287E+02   6.8044567840897543E+01
         1          9   6.2864759330334472E+00   3.0295077427097286E+01   1.4838492016189237E+01   2.2744716104459419E+00
         1         10   1.4425990585219945E+00   6.6726557096354746E+00   4.1162605397617069E+00   2.2056789128644991E-01
         1         11   3.7515897441948447E+01   4.1406249572577894E+02   2.0476764207369183E+02   5.8438456974006108E+01
         1         12   5.1482612563696293E+01   3.0960830357730310E+02   1.1502327051773419E+02   5.2487612857601754E+01
         1         13   1.1691574648718657E+01   1.4662419396172007E+02   6.2461236844976845E+01   1.0136335782709882E+01
         1         14   1.2252813694323037E+00   2.2308123136688426E+01   1.0419374058251924E+01   1.2340161496396245E+00
         1         15   7.7482805783085780E+02   3.5488138644581253E+04   1.0199106893057806E+04   4.9374869585909555E+03
         1         16   2.1219379518409646E+03   8.2271476433195727E+04   3.3394077913298694E+04   1.2117797699952058E+04
         1         17   1.1877630581265991E+02   6.7693907098248046E+03   1.3233685962675972E+03   5.7145763632929948E+02
         1         18   1.6084414357672704E+03   4.2012777780504497E+04   1.9038428407692147E+04   5.9995756597226100E+03
         1         19   6.2319923434096525E-01   2.4759774455659867E+03   3.8360455733806964E+02   1.7598791794977336E+02
         1         20   6.3637350652935379E+02   1.0476509064170607E+04   5.0592389184499962E+03   1.4200201839104304E+03
         1         21   5.8689675742448651E+02   2.3571952822690891E+04   6.4705763983918523E+03   3.2639639807496883E+03
         1         22   1.4009462357322698E+03   5.2140464300893334E+04   2.0283402242417811E+04   7.6280524961779729E+03
         1         23   6.3791235882108332E+01   4.4585415569342322E+03   8.9728101335614292E+02   3.5726254610799509E+02
         1         24   1.0536355291530094E+03   2.5765021150315795E+04   1.1334955022045073E+04   3.6257550323807236E+03
         1         25   2.7078388686982180E-01   1.7054763230931494E+03   2.9549960282691785E+02   1.4774863059063523E+02
         1         26   4.0925119202645465E+02   6.1454451394044190E+03   2.8796650870433473E+03   8.0578119765608290E+02
         1         27   3.4258274021324968E+02   1.2423880573997874E+04   3.1681950036179473E+03   1.7160591752185885E+03
         1         28   7.0988578460579799E+02   2.5075518344744411E+04   9.0508016869881849E+03   3.6358246825287379E+03
         1         29   2.3624554394295796E+01   2.3019950598737869E+03   4.9768579779547190E+02   1.7228572338450348E+02
         1         30   5.2481218085000353E+02   1.1556375433010002E+04   4.8480652833552558E+03   1.5880911963540366E+03
         1         31   6.6760568471033066E-02   9.0373374676818071E+02   1.9408723945190656E+02   1.0657799716147976E+02
         1         32   2.0115455349955795E+02   2.5159013055056676E+03   1.1277873374853430E+03   3.0932900687484516E+02
         1         33   1.3835037612019070E+02   4.7278255585160732E+03   1.0795479491288784E+03   6.5285136176405092E+02
         1         34   2.3625436517885126E+02   8.1471995180495169E+03   2.5552973419690006E+03   1.1642679518942459E+03
         1         35   5.2287491758550821E+00   8.4264675256221733E+02   2.1086932812656977E+02   5.9491188359085790E+01
         1         36   1.7052322323770460E+02   3.2599137244966423E+03   1.2530879557439696E+03   4.2983325152756561E+02
         1         37   7.1793225986949193E-03   3.0945511618430299E+02   9.8120096500782864E+01   5.8010593592014814E+01
         1         38   6.2023212359394847E+01   5.7837882054499823E+02   2.4495738456072203E+02   6.2755653639957082E+01
         1         39   3.2486443345895189E+01   1.1055902205055672E+03   2.1777295881297380E+02   1.4926994678976888E+02
         1         40   2.5036847841313534E+01   1.5352421357002384E+03   3.7026386589342860E+02   2.1472527502629981E+02
         1         41   5.5762895288900116E-01   1.8851813800364266E+02   5.8351795165882308E+01   1.2606434254174232E+01
         1         42   2.0789779249461276E+01   4.8588232641936622E+02   1.5297155165128888E+02   5.9790754604362341E+01
         1         43   2.8006969457164107E-04   6.7917028157723109E+01   3.1311927790713916E+01   1.9361841341561714E+01
         1         44   6.7329306830266020E+00   5.7804027542204850E+01   2.1439983977942603E+01   4.8660000803763301E+00
         1         45   1.0896190214205370E+00   1.1593224210533958E+02   1.9032402843982567E+01   1.3649480558697745E+01
         1         46   4.0603829302663835E-01   1.3411063157920685E+02   2.0078158338146462E+01   1.7007559404206013E+01
