################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  5.0787815242972925E+01 a         1     0     1     1     1
 -2.1187326724580345E+01 a         2     0     1     1     2
  8.3508691943498174E+00 a         3     0     1     1     3
  4.4897706566489148E+00 a         4     0     1     1     4
 -4.4569119443349940E+00 a         5     0     1     1     5
  2.1509588551152472E+00 a         6     0     1     1     6
 -5.2552791062588353E+00 a         7     0     1     1     7
  1.0605219979216885E+01 a         8     0     1     1     8
  2.4768818568755240E+01 a         9     0     1     1     9
  4.6631468129560723E+01 a        10     0     1     1    10
  1.2525829204767090E+01 a        11     0     1     1    11
  1.9900422133110219E+01 a        12     0     1     1    12
 -6.6402607576992905E+00 a        13     0     1     1    13
  3.1506380450369034E+00 a        14     0     1     1    14
  9.7974711571485962E+00 a        15     0     1     1    15
  9.0201663312318114E+00 a        16     0     1     1    16
  8.2960778081197368E+00 a        17     0     1     1    17
 -1.9177990071586638E+01 a        18     0     1     1    18
  7.6772830153474567E+00 a        19     0     1     1    19
 -2.3196423847954783E+01 a        20     0     1     1    20
  4.7697823403123030E+00 a        21     0     1     1    21
  2.7430002373444005E+01 a        22     0     1     1    22
 -1.2190399541540124E+01 a        23     0     1     1    23
 -2.4448520596151063E+01 a        24     0     1     1    24
 -3.3051242104635129E+01 a        25     0     1     1    25
  2.0310265456151470E+01 a        26     0     1     1    26
 -4.3646742077580090E+00 a        27     0     1     1    27
  7.7080440718580501E-01 a        28     0     1     1    28
  2.0503812488334550E+00 a        29     0     1     1    29
 -8.7142248024965543E+00 a        30     0     1     1    30
  4.5185013432631234E+00 a        31     0     2     1     1
  5.2921567256363735E+00 a        32     0     2     1     2
 -6.2627997374193875E-02 a        33     0     2     1     3
  1.5719528888440159E+01 a        34     0     2     1     4
 -9.4445558670357788E-01 a        35     0     2     1     5
  9.5792023516151090E+00 a        36     0     2     1     6
  8.5738849028729085E+00 a        37     0     2     1     7
 -4.2916746496058283E-01 a        38     0     2     1     8
  5.3823626131290698E+00 a        39     0     2     1     9
  1.1187179861510993E+01 a        40     0     2     1    10
  6.2535627392017563E+00 a        41     0     2     1    11
 -5.9667129764840530E+00 a        42     0     2     1    12
  4.2050552056478780E+00 a        43     0     2     1    13
  1.3906682213574737E+01 a        44     0     2     1    14
  5.9569070670007402E+00 a        45     0     2     1    15
  1.3998469761854198E+00 a        46     0     2     1    16
 -1.5284523739092137E-01 a        47     0     2     1    17
 -5.9854319554194335E+00 a        48     0     2     1    18
 -1.5719169309145491E+00 a        49     0     2     1    19
 -2.7972127077397868E+00 a        50     0     2     1    20
 -2.0611491477124204E+00 a        51     0     2     1    21
 -3.3698920026066252E+00 a        52     0     2     1    22
  4.4498207441198967E-01 a        53     0     2     1    23
  1.2165207755585113E+01 a        54     0     2     1    24
 -8.1277298226660459E+00 a        55     0     2     1    25
  3.3578508856455964E+00 a        56     0     2     1    26
 -9.3895297982407455E-01 a        57     0     2     1    27
 -7.3049360450032310E+00 a        58     0     2     1    28
 -6.1265539736643095E+00 a        59     0     2     1    29
  8.7795896919802852E-01 a        60     0     2     1    30
 -2.1252059004742879E+01 a        61     0     3     1     1
  2.6794032478253406E+01 a        62     0     3     1     2
 -8.7937239415932993E+00 a        63     0     3     1     3
  2.3780945233139963E+01 a        64     0     3     1     4
  1.5206714561313135E+00 a        65     0     3     1     5
  2.0302838114526001E+01 a        66     0     3     1     6
  2.0394461153607235E+01 a        67     0     3     1     7
 -7.5398508484541544E+00 a        68     0     3     1     8
 -6.4999118706909647E+00 a        69     0     3     1     9
 -4.6294863607703363E+00 a        70     0     3     1    10
  3.1068424478917374E+00 a        71     0     3     1    11
 -2.6399417254046718E+01 a        72     0     3     1    12
  1.1324614093018502E+01 a        73     0     3     1    13
  1.7680905552709781E+01 a        74     0     3     1    14
  6.2553847850868367E+00 a        75     0     3     1    15
 -5.6003775307974024E+00 a        76     0     3     1    16
 -3.5627360488166882E-01 a        77     0     3     1    17
 -1.1887850695031670E-01 a        78     0     3     1    18
 -2.3892977093137899E+00 a        79     0     3     1    19
  1.1649114601560584E+01 a        80     0     3     1    20
 -4.7228728436794931E+00 a        81     0     3     1    21
 -2.0935996735198394E+01 a        82     0     3     1    22
