################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -9.6540716738276444E+00 a         1     0     1     1     1
  1.8906128676150541E+01 a         2     0     1     1     2
  1.0026922592375909E+00 a         3     0     1     1     3
  5.1986852945564358E+01 a         4     0     1     1     4
 -7.8982425037351440E+00 a         5     0     1     1     5
 -2.1090178608441293E-01 a         6     0     1     1     6
  9.0284343362407018E+00 a         7     0     1     1     7
 -7.2785377019928163E+01 a         8     0     1     1     8
  8.0147218926134425E+00 a         9     0     1     1     9
  3.6902547858357437E+01 a        10     0     1     1    10
  9.4031856528642130E+00 a        11     0     1     1    11
 -7.8645662676213455E+00 a        12     0     1     1    12
 -8.7846752275504727E+00 a        13     0     1     1    13
 -8.2186321916880285E+00 a        14     0     1     1    14
  2.4161993831366591E+00 a        15     0     1     1    15
  1.1933164069926859E+01 a        16     0     1     1    16
  1.3172979471523103E+01 a        17     0     1     1    17
  4.9776790432094868E+00 a        18     0     1     1    18
  1.3235279911858967E+01 a        19     0     1     1    19
  4.8793515751659008E+01 a        20     0     1     1    20
  3.2012536806606938E+01 a        21     0     1     1    21
  8.1156330935017653E+00 a        22     0     1     1    22
 -9.8896158681456665E+00 a        23     0     1     1    23
  1.8861553482523011E+01 a        24     0     1     1    24
 -1.7601009341965852E+01 a        25     0     1     1    25
 -6.0110844612999665E+00 a        26     0     1     1    26
 -1.0542729344994561E+00 a        27     0     1     1    27
 -2.0579594291119769E+00 a        28     0     1     1    28
  1.3543585937507439E+01 a        29     0     1     1    29
  6.1790801078813047E+00 a        30     0     1     1    30
  1.9739186330767262E+00 a        31     0     2     1     1
  1.7379217526585762E+00 a        32     0     2     1     2
 -6.0906461825077107E+00 a        33     0     2     1     3
  3.3923143662135438E+01 a        34     0     2     1     4
  2.1022491307903106E+01 a        35     0     2     1     5
  7.9340452048926400E+00 a        36     0     2     1     6
 -9.4137023917237332E+00 a        37     0     2     1     7
 -1.3209289708636579E+01 a        38     0     2     1     8
 -1.1526013363901665E+01 a        39     0     2     1     9
  6.1058385359634659E+00 a        40     0     2     1    10
  8.3628096739160203E+00 a        41     0     2     1    11
  2.2196237960041298E+01 a        42     0     2     1    12
  2.3482977981581690E+00 a        43     0     2     1    13
  8.4486698814593009E+00 a        44     0     2     1    14
 -6.5128884784725942E+00 a        45     0     2     1    15
 -4.0191715228347018E+00 a        46     0     2     1    16
  9.6181811634717640E+00 a        47     0     2     1    17
  5.9931394672930716E-01 a        48     0     2     1    18
  5.5317579354392947E+00 a        49     0     2     1    19
  1.5863063422586732E+01 a        50     0     2     1    20
  1.5656461513034463E+00 a        51     0     2     1    21
  1.3438239888467583E+01 a        52     0     2     1    22
  7.0628910272883303E+00 a        53     0     2     1    23
  1.4074826557565912E+01 a        54     0     2     1    24
