################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -6.5347155553799006E+00 a         1     0     1     1     1
  1.9401847479751666E+01 a         2     0     1     1     2
  2.3177342666968389E+01 a         3     0     1     1     3
 -4.0363390798759845E+01 a         4     0     1     1     4
  1.7079699464164411E+00 a         5     0     1     1     5
 -2.3982236779441752E+01 a         6     0     1     1     6
 -3.2090092539361965E+00 a         7     0     1     1     7
 -9.5593213123919654E+00 a         8     0     1     1     8
  6.2402241165423789E+00 a         9     0     1     1     9
  1.0324192264023397E+01 a        10     0     1     1    10
  3.0014237976476581E+00 a        11     0     1     1    11
 -3.5737098670128944E+00 a        12     0     1     1    12
  7.2603055137042078E+00 a        13     0     1     1    13
 -1.5943261846406060E+01 a        14     0     1     1    14
  7.3493498579372867E+00 a        15     0     1     1    15
  1.6361554602505702E+01 a        16     0     1     1    16
  4.4723477099563045E+00 a        17     0     1     1    17
  1.3384603959280415E+01 a        18     0     1     1    18
 -1.9579148479566091E-01 a        19     0     1     1    19
 -7.2065982148536918E+00 a        20     0     1     1    20
  6.6207718413549852E+00 a        21     0     1     1    21
 -7.3310742857070883E+00 a        22     0     1     1    22
  1.0144595691104017E+01 a        23     0     1     1    23
  1.0083834799871427E+01 a        24     0     1     1    24
  8.9206096763552605E+00 a        25     0     1     1    25
 -4.3768271854463228E+00 a        26     0     1     1    26
 -1.0076030120477407E+01 a        27     0     1     1    27
  7.1765127690499553E-01 a        28     0     1     1    28
 -1.4911441189521250E+01 a        29     0     1     1    29
  7.8001368703252147E+00 a        30     0     1     1    30
  1.4619139173250076E+01 a        31     0     2     1     1
  2.0584223206053376E+00 a        32     0     2     1     2
  2.3423997845291471E+01 a        33     0     2     1     3
 -1.0715709783748643E+01 a        34     0     2     1     4
  1.5074116828173825E+01 a        35     0     2     1     5
 -9.9269747083059432E+00 a        36     0     2     1     6
  4.9366915434604595E+00 a        37     0     2     1     7
 -1.3209514935094315E+01 a        38     0     2     1     8
 -4.2333641471180252E+00 a        39     0     2     1     9
  9.9105570281329172E+00 a        40     0     2     1    10
  2.1011776724399166E+01 a        41     0     2     1    11
 -2.9993010123135988E+01 a        42     0     2     1    12
  8.0226818501611117E+00 a        43     0     2     1    13
 -1.8561587913802864E+01 a        44     0     2     1    14
  4.7712787433838324E+00 a        45     0     2     1    15
  8.3442141081774306E+00 a        46     0     2     1    16
  8.0667946746251484E+00 a        47     0     2     1    17
 -3.6560076015589966E+00 a        48     0     2     1    18
  2.7447182834416077E+00 a        49     0     2     1    19
 -1.9809421623335961E+01 a        50     0     2     1    20
  4.6746223181660254E+00 a        51     0     2     1    21
 -1.7858124627884226E+01 a        52     0     2     1    22
 -2.8682499295065922E+00 a        53     0     2     1    23
  6.9672388785711981E+00 a        54     0     2     1    24
  9.9785195779503084E+00 a        55     0     2     1    25
 -2.0106888271954119E+01 a        56     0     2     1    26
  4.2962850757809479E+00 a        57     0     2     1    27
 -2.8503432633383445E+00 a        58     0     2     1    28
  9.0116305193407538E+00 a        59     0     2     1    29
  3.0707569432322277E+00 a        60     0     2     1    30
  1.4298651250537343E+01 a        61     0     3     1     1
 -5.0179937678698591E-02 a        62     0     3     1     2
  1.3659895665906815E+01 a        63     0     3     1     3
  4.1281662162365871E+00 a        64     0     3     1     4
  1.6671608383456874E+01 a        65     0     3     1     5
 -2.6792646512392664E+00 a        66     0     3     1     6
  6.9828202599291096E+00 a        67     0     3     1     7
 -1.3999777323970376E+01 a        68     0     3     1     8
 -7.2025493586074851E-02 a        69     0     3     1     9
  1.3805672419057306E+01 a        70     0     3     1    10
  2.3970717282879150E+01 a        71     0     3     1    11
 -3.0788322689388629E+01 a        72     0     3     1    12
  5.8242987258485028E+00 a        73     0     3     1    13
 -1.8294252454465802E+01 a        74     0     3     1    14
  3.9277958723787201E+00 a        75     0     3     1    15
  1.2498957223787523E+00 a        76     0     3     1    16
  2.6946759955209419E+01 a        77     0     3     1    17
 -6.7721620655048484E+00 a        78     0     3     1    18
  8.3652518332984371E+00 a        79     0     3     1    19
 -2.5103173089350893E+01 a        80     0     3     1    20
  1.9185496920452948E+01 a        81     0     3     1    21
 -1.2622578394851814E+01 a        82     0     3     1    22
 -2.5073564944919098E+00 a        83     0     3     1    23
  4.4524544503956314E+00 a        84     0     3     1    24
 -3.2587511032933025E+00 a        85     0     3     1    25
 -3.0182407411776165E+01 a        86     0     3     1    26
  8.8821243457041508E+00 a        87     0     3     1    27
  2.8828846670630854E+00 a        88     0     3     1    28
  2.9405860781477287E+01 a        89     0     3     1    29
  1.1223892978674220E+01 a        90     0     3     1    30
 -3.5841537077663475E+00 a        91     0     4     1     1
 -8.8074529344713817E+00 a        92     0     4     1     2
 -4.1975304404082394E+01 a        93     0     4     1     3
  2.6517871520287045E+01 a        94     0     4     1     4
 -1.7972053204983265E+01 a        95     0     4     1     5
  4.2051006160176250E+01 a        96     0     4     1     6
 -1.9974930934796171E+00 a        97     0     4     1     7
  3.2454890295876837E+01 a        98     0     4     1     8
 -2.4367183107278447E+00 a        99     0     4     1     9
 -1.2370137016763691E+01 a       100     0     4     1    10
 -3.4028136729976396E+01 a       101     0     4     1    11
  4.3521479651129518E+01 a       102     0     4     1    12
 -2.5713240023845081E+01 a       103     0     4     1    13
  3.3393797668343446E+01 a       104     0     4     1    14
 -1.2041312861279676E+01 a       105     0     4     1    15
 -2.2964593160771461E+01 a       106     0     4     1    16
 -3.0135367796850549E+01 a       107     0     4     1    17
  5.9627228511221784E+00 a       108     0     4     1    18
 -8.6262763639190432E+00 a       109     0     4     1    19
  3.1060092914060789E+01 a       110     0     4     1    20
 -1.5822190335417025E+01 a       111     0     4     1    21
  1.2073088761665833E+01 a       112     0     4     1    22
 -1.9793516248442245E+01 a       113     0     4     1    23
 -1.4780268258698724E+01 a       114     0     4     1    24
 -2.2756548563212064E+01 a       115     0     4     1    25
  4.1322961402770595E+01 a       116     0     4     1    26
  1.0613754791146011E+01 a       117     0     4     1    27
  9.8854298696267295E-01 a       118     0     4     1    28
 -3.1925350084917117E+00 a       119     0     4     1    29
 -6.1510418577190693E+00 a       120     0     4     1    30
 -4.3150571497976502E+00 a       121     0     5     1     1
 -9.2692391095108757E+00 a       122     0     5     1     2
 -1.9029117395486313E+01 a       123     0     5     1     3
  1.9289905701207793E+01 a       124     0     5     1     4
 -8.1843924062818516E+00 a       125     0     5     1     5
  1.5410593907257025E+01 a       126     0     5     1     6
 -1.1232176694289084E+00 a       127     0     5     1     7
  1.1581095614705566E+01 a       128     0     5     1     8
